model,test,loss,accuracy,f1,matthews_correlation,precision,recall,runtime,samples_per_second,steps_per_second,epoch
dnabert2,prom_prom_core_notata,0.368264764547348,0.8460523836442434,0.8459932399718357,0.6925065974393332,0.8464913615573658,0.8460153994471264,4.8709,1089.524,17.04,4.0
dnabert2,tf_4,0.3202476501464844,0.863,0.8625214371226239,0.7311078152425063,0.8681257834081755,0.863,0.3586,2788.523,11.154,3.0
dnabert2,prom_prom_300_notata,0.09270565211772919,0.9658941021292632,0.9658766553241548,0.9320258519251065,0.9662633359354671,0.96576265047406,4.6622,1138.301,17.803,4.0
dnabert2,tf_2,0.42094239592552185,0.809,0.8085019134769535,0.6212401408540642,0.812248634796422,0.8089999999999999,0.3592,2783.709,11.135,3.0
dnabert2,mouse_2,0.4043128788471222,0.9085365853658537,0.9084821428571429,0.8180470365967197,0.9095110316040549,0.9085365853658537,0.1272,2578.454,15.722,47.61904761904762
dnabert2,EMP_H3K4me3,0.5942642688751221,0.6855978260869565,0.6854220048998025,0.38033400015797225,0.6909192921572282,0.6894176723076225,3.7574,979.39,15.436,3.0
dnabert9_1,EMP_H3K9ac,0.48789411783218384,0.7729399064411658,0.7715339965762977,0.5441447801999848,0.7709457094274909,0.7732037558783791,2.9224,950.938,15.056,3.0
dnabert9_1,EMP_H3K4me1,0.5373847484588623,0.7550505050505051,0.7494896794600058,0.5035812583833348,0.7560044766464398,0.7476461418926419,3.1258,1013.507,15.996,3.0
dnabert9_1,mouse_1,0.17259840667247772,0.9309117865085248,0.9309078364344796,0.861917998509111,0.9310073179573037,0.9309106859686457,1.6821,4009.754,16.051,2.3696682464454977
dnabert9_1,mouse_4,0.5535385608673096,0.7312798725438131,0.7264187891651506,0.4801496611429989,0.7491277621876404,0.73135086899919,0.4953,3801.708,16.152,8.474576271186441
dnabert9_1,prom_prom_300_tata,0.42806383967399597,0.833605220228385,0.8331785874367676,0.6672308174112964,0.8343893146110707,0.8328432939171194,0.5747,1066.557,17.399,10.0
dnabert9_1,Cancer2,0.529549241065979,0.7630979498861048,0.7619107217355027,0.5310322380756212,0.7681164021164021,0.7629410543794105,0.4242,1034.822,16.501,3.0
dnabert9_1,prom_prom_300_all,0.17925143241882324,0.9305743243243243,0.9305742748001755,0.8612136059199398,0.9306025024610863,0.9306111035018034,5.5225,1071.97,16.84,4.0
dnabert9_1,tf_3,0.4356498718261719,0.789,0.7889390033719745,0.5783343739301408,0.7893344706480692,0.789,0.2585,3869.213,15.477,3.0
dnabert9_1,tf_0,0.3637693524360657,0.849,0.8481910098917129,0.7055603686337513,0.8566013136007128,0.849,0.2508,3987.622,15.95,3.0
dnabert9_1,Cancer,0.6036643981933594,0.6492027334851936,0.6392268613387978,0.315352257912112,0.6670510670021433,0.6488273142382731,0.5268,833.287,13.287,3.0
dnabert9_1,mouse_3,0.6222235560417175,0.8702928870292888,0.8700654144964135,0.743836842893021,0.8733592095977417,0.8704831932773109,0.0712,3358.388,14.052,66.66666666666667
dnabert9_1,tf_1,0.31235820055007935,0.861,0.8603350551977966,0.7289746627267966,0.8680083510371515,0.861,0.2548,3924.187,15.697,3.0
dnabert9_1,mouse_0,0.5481874942779541,0.7604938271604939,0.7549343746880925,0.5463663324754225,0.786490636377656,0.7604938271604937,0.2696,3004.614,14.838,19.607843137254903
dnabert9_1,EMP_H3K36me3,0.47174909710884094,0.7955848623853211,0.7894157658914447,0.5843727486299758,0.7982064888363081,0.7862877922894602,3.5547,981.241,15.473,3.0
dnabert9_1,EMP_H3K4me2,0.6049889922142029,0.6754643206256109,0.6144355644355644,0.31834884806764585,0.7011402596133033,0.6259643261632916,3.2056,957.402,14.974,3.0
dnabert9_1,EMP_H4ac,0.5546952486038208,0.7287390029325513,0.7287266618281669,0.46233425434813,0.7309864333171464,0.7313479623824451,3.5865,950.795,15.057,3.0
